territory,base,target30off,chosenPrice,discountPct,pricePointId
LUX,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJMVVgiLCJwIjoiMTAzODcifQ
LVA,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJMVkEiLCJwIjoiMTAzNDUifQ
MAC,99.99,69.993,69.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNQUMiLCJwIjoiMTAzODcifQ
MAR,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNQVIiLCJwIjoiMTAxNTgifQ
MDA,39.99,27.993,27.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNREEiLCJwIjoiMTAyMTcifQ
MDG,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNREciLCJwIjoiMTAxMDYifQ
MDV,49.99,34.993,34.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNRFYiLCJwIjoiMTAyNTIifQ
MEX,799.0,559.3,559.0,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNRVgiLCJwIjoiMTAyOTcifQ
MKD,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNS0QiLCJwIjoiMTAyMDMifQ
MLI,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNTEkiLCJwIjoiMTAxMDYifQ
MLT,79.99,55.993,55.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNTFQiLCJwIjoiMTAzNDUifQ
MMR,14.99,10.493,10.49,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNTVIiLCJwIjoiMTAxMjkifQ
MNE,34.99,24.493,24.49,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNTkUiLCJwIjoiMTAxOTkifQ
MNG,22.99,16.093,16.0,30.4,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNTkciLCJwIjoiMTAxNTgifQ
MOZ,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNT1oiLCJwIjoiMTAxMDYifQ
MRT,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNUlQiLCJwIjoiMTAxMDYifQ
MSR,35.99,25.193,25.0,30.5,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNU1IiLCJwIjoiMTAyMDMifQ
MUS,59.99,41.993,41.99,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNVVMiLCJwIjoiMTAyODcifQ
MWI,11.99,8.393,8.39,30.0,eyJzIjoiNjc2MjMxNzc3NyIsInQiOiJNV0kiLCJwIjoiMTAxMDYifQ
